Category;PalmiticAcid;PalmitoleicAcid;StearicAcid;OleicAcid;LinoleicAcid;EicosanoicAcid;LinolenicAcid
NA;10.75;0.75;2.26;78.230011;6.72;0.36;0.6
NA;10.88;0.73;2.24;77.084566;7.81;0.31;0.61
NA;9.104569;0.54;2.46;81.129997;5.49;0.31;0.63
NA;10.51;0.67;2.59;77.704569;6.72;0.5;0.8
NA;9.104569;0.49;2.68;79.239998;6.78;0.51;0.7
NA;9.22;0.66;2.64;79.900002;6.18;0.49;0.56
NA;10.37;0.55;2.13;79.440002;6.33;0.26;0.52
NA;10.51;0.35;2.19;79.774569;6.05;0.21;0.65
NA;8.75;0.52;2.43;80.18;6.55;0.41;0.79
NA;9.520001;0.49;2.54;77.944567;7.8;0.5;0.75
NA;9.43;0.94;1.83;78.400002;7.88;0.42;0.75
NA;12.78;0.69;2.05;73.440002;9.57;0.45;0.7
NA;9.604569;0.7;1.95;79.580002;7.42;0.46;0.75
NA;10.74;0.67;2.36;76.914568;7.16;0.56;0.83
NA;10.56;0.53;2.47;77.024569;7;0.54;0.89
NA;10.65;0.45;2.45;77.790001;6.96;0.47;0.82
SA;13.64;2.04;2.25;69.290001;10.84;0.21;0.5
SA;14.1;1.99;2.16;71.300003;9.55;0.21;0.48
SA;13.84;1.78;2.08;71.050003;4.56;0.29;0.67
SA;14.12;1.85;2.17;68.414568;12.03;0.34;0.72
SA;14.1;2.32;2.8;67.150002;12.33;0.32;0.6
SA;13.17;1.97;2.56;70.360001;10.67;0.4;0.6
SA;12.73;1.91;2.02;68.620003;13.03;0.43;0.7
SA;14.63;1.83;1.83;67.470001;13.07;0.36;0.6
SA;13.99;1.87;1.91;68.610001;12.33;0.38;0.6
SA;14.13;1.93;2.08;68.75;12.02;0.3;0.6
SA;13.69;2.06;2.03;69.524569;11.68;0.35;0.5
SA;12.86;1.63;1.83;70.400002;12.3;0.29;0.57
SA;13.94;1.64;2.23;70.860001;10.42;0.24;0.43
SA;13.24;1.74;1.98;68.624567;12.89;0.36;0.7
SA;12.9;1.57;1.92;70;12.63;0.26;0.51
SA;13.61;1.63;1.96;68.874567;12.73;0.37;0.58
SA;13.87;1.82;2.42;69.124567;11.01;0.44;0.68
SA;13.69;1.8;1.81;70;11.3;0.39;0.45
SA;13.46;1.6;1.69;70.720001;11.51;0.39;0.48
SA;13.05;1.72;1.69;70.040001;12.6;0.28;0.5
SA;13.51;1.79;1.86;69.344568;12.43;0.36;0.5
SA;12.83;1.51;1.82;70;12.71;0.4;0.52
SA;14.49;1.75;1.98;68.830002;11.62;0.4;0.7
SA;13.6;1.63;1.76;69.010002;12.8;0.28;0.65
SA;13;1.87;1.96;69.145697;12.53;0.41;0.76
SA;13.68;1.71;2.18;70.045698;10.57;0.41;0.54
SA;13.34;1.86;2.29;72.610001;8.270001;0.34;0.56
SA;13.01;1.56;2.07;70.024569;12.29;0.41;0.48
SA;12.01;1.68;1.9;71;12.16;0.43;0.64
SA;12.48;1.63;1.58;71.024569;12.22;0.31;0.6
SA;13.35;1.59;1.97;69.734568;12.2;0.36;0.6
SA;12.19;1.67;1.71;70.870003;12.54;0.35;0.5
SA;13.18;1.79;1.77;70.300003;11.94;0.35;0.42
SA;12.64;1.67;1.66;71.300003;11.87;0.22;0.52
SA;12.01;1.75;2.01;71.290001;11.93;0.36;0.49
SA;13.51;1.79;1.7;70.334566;11.54;0.35;0.66
SA;13.36;1.55;2.12;71.024569;10.86;0.33;0.55
SA;14.99;2.01;1.82;68.024569;12.04;0.3;0.56
SA;14.25;1.98;1.93;70.32;10.41;0.31;0.52
SA;13.58;2.04;2.27;69.620003;11.09;0.41;0.65
SA;13.46;1.81;2.57;71.470001;9.33;0.4;0.6
SA;13.14;1.71;2.29;69.230011;11.98;0.47;0.76
SA;13.42;1.74;2.21;69.93;11.47;0.36;0.64
SA;14.13;2.02;2.05;69.145697;11.65;0.36;0.46
SA;14.3;2.09;2.25;68;12;0.32;0.59
SA;13.36;1.85;2.23;69.554568;11.55;0.56;0.73
SA;13.72;2;2;69.160011;11.89;0.33;0.5
SA;13.3;1.57;2.28;70.550003;11.08;0.42;0.55
SA;14.12;2.07;2.08;68.220001;12.39;0.36;0.51
SA;13.21;2.09;2.17;69.480011;11.78;0.42;0.62
SA;14.01;2;2.17;69.800003;10.73;0.4;0.68
SA;14.01;2.14;2.17;67.334566;12.93;0.44;0.69
SA;14.57;1.68;2.42;67.234568;12.66;0.54;0.59
SA;14.38;2.06;2.48;68.054568;11.83;0.34;0.57
SA;14.62;2.04;2.37;66.440002;13.09;0.42;0.54
SA;15.29;2.15;2.03;66.014567;13.1;0.45;0.69
SA;15.1;1.89;2.45;67.514567;11.88;0.36;0.52
SA;14.37;2.22;1.84;68.024569;12.4;0.43;0.56
SA;13.27;1.29;2.47;70.234568;11.57;0.38;0.56
SA;14.47;1.76;1.89;68.484568;11.8;0.42;0.64
SA;13.69;1.56;2.41;68.900002;12.09;0.42;0.63
SA;14.71;1.88;2.76;66.970001;12.69;0.34;0.51
SA;13.14;1.4;2.07;70.145697;12.2;0.28;0.59
SA;14.08;1.76;1.92;69.084566;11.95;0.45;0.5
SA;13.97;1.72;1.91;71.07;10.18;0.36;0.5
SA;14.13;1.91;1.86;69.370003;11.8;0.31;0.46
SA;13.04;1.59;2.34;70.190002;11.74;0.38;0.53
SA;13.41;1.6;2.31;70.330002;10.69;0.4;0.67
SA;15.08;2.08;2.49;66.410011;13.11;0.25;0.43
SA;15.15;2.26;2.57;65.944567;12.87;0.41;0.63
SA;12.94;1.59;2.53;70.084566;11.9;0.3;0.52
SA;14.6;1.87;2.15;68.43;11.72;0.35;0.56
SA;14.82;1.78;1.97;68.134569;12.01;0.4;0.64
SA;13.88;1.76;1.85;70.080002;11.11;0.48;0.53
SA;13.67;1.72;2.35;70.660011;10.54;0.35;0.45
SA;13.23;1.57;2.34;71.32;10.22;0.38;0.58
SA;13.83;1.57;2.17;70.18;10.9;0.4;0.6
SA;13.5;1.68;2.27;69.860001;11.65;0.29;0.58
SA;14.22;1.81;2.18;68.124567;12.3;0.3;0.59
SA;14.47;2.36;2.45;66.07;13.36;0.33;0.51
SA;13.47;1.97;2.11;67.944567;13;0.32;0.59
SA;13.39;1.7;2.53;69.884569;11.1;0.29;0.63
SA;13.88;1.83;2.16;68.664568;12.08;0.28;0.61
SA;15.27;2.6;2.32;64.874567;13.7;0.31;0.45
SA;14.87;2.46;2.51;65.040001;13.9;0.29;0.53
SA;14.82;2.46;2.38;64.440002;14.62;0.27;0.5
SA;14.34;1.72;2.55;66.454569;13.54;0.27;0.59
SA;13.47;1.56;2.14;68.5;13.13;0.25;0.48
SA;13.4;1.58;2.33;68.480011;12.72;0.32;0.63
SA;14.53;1.8;2.44;67.514567;12.38;0.34;0.54
SA;13.06;1.49;2.26;70.82;10.97;0.33;0.61
SA;12.54;1.51;2.05;73.190002;9.47;0.28;0.54
SA;11.68;1.44;2.2;72.300003;11.09;0.31;0.52
SA;13.46;1.67;2.24;69.584566;11.11;0.3;0.49
SA;13.9;1.84;2.12;68.980011;11.89;0.29;0.44
SA;14.91;2.27;2.05;69.410011;9.88;0.33;0.68
SA;14.45;1.74;2.28;68.75;11.23;0.29;0.69
SA;14.39;1.83;2.18;67.75;12.26;0.32;0.66
SA;13.87;1.54;2.04;69.910011;10.9;0.34;0.74
SA;14.26;1.69;1.92;70.25;10.43;0.31;0.64
SA;14.51;2;2.08;69.800003;10.06;0.3;0.62
SA;14.93;2.04;1.88;69.124567;10.44;0.32;0.61
SA;13.49;1.52;2.36;71.444567;9.49;0.35;0.75
SA;14.4;1.96;2.08;69.374567;10.7;0.32;0.61
SA;12.49;1.33;2.05;74.164568;8.270001;0.33;0.72
SA;13.41;1.55;2.44;69.580002;11.44;0.32;0.68
SA;13.98;1.49;2.04;71.82;9.07;0.29;0.76
SA;13.34;1.53;2.19;69.274569;12.14;0.33;0.66
SA;13.23;1.47;2.1;71.080002;10.7;0.33;0.61
SA;14.72;2.18;2.14;67.234568;12.38;0.29;0.53
SA;13.68;1.74;2.05;70.414568;10.66;0.31;0.57
SA;13.67;1.73;2.28;69.480011;11.41;0.32;0.53
SA;14.03;1.73;2.09;68.43;12.1;0.33;0.63
SA;14.13;1.97;2.06;67.370003;13.87;0.34;0.6
SA;12.01;1.38;2.07;70.110001;12.69;0.37;0.64
SA;14.19;1.59;2.15;68.620003;11.93;0.35;0.6
SA;13.28;1.71;2.53;69.870003;10.3;0.38;0.83
SA;14.69;1.6;3.37;66.75;11.27;0.44;0.94
SA;12.83;1.53;1.96;71.07;11.15;0.37;0.6
SA;12.63;1.55;1.99;71.400002;11.48;0.31;0.42
SA;13.53;1.72;1.75;69.650002;12.12;0.28;0.75
SA;11.87;1.39;1.85;74.264567;9.520001;0.29;0.56
SA;17.32;2.31;1.56;64.370003;13.13;0.45;0.62
SA;16.200001;2.55;1.66;66.274569;12.12;0.29;0.62
SA;15.43;1.72;1.93;67.400002;11.57;0.52;0.87
SA;14.98;1.7;1.95;68.040001;12.06;0.35;0.66
SA;13.99;1.69;1.71;70.110001;11;0.36;0.72
SA;12.93;1.56;1.91;71.010002;11.11;0.32;0.6
SA;14.2;1.75;1.52;70.040001;11.49;0.27;0.5
SA;17.204569;2.38;2.55;63;13.5;0.35;0.7
SA;17.42;2.21;1.56;64.150002;13.15;0.43;0.82
SA;13.91;1.87;1.89;69.75;10.62;0.52;0.7
SA;15.17;2.06;2.49;66.800003;12.05;0.33;0.8
SA;12.69;1.57;1.93;71.400002;11.48;0.31;0.4
SA;15.9;2.41;1.95;67.050003;11.49;0.27;0.68
SA;16.204569;2.8;1.97;66.080002;11.79;0.28;0.58
SA;17.530001;2.75;2.36;63.664568;12.14;0.23;0.61
SA;16.93;2.36;1.74;64.984568;12.04;0.51;1.02
SA;16.92;2.7;2.34;64.984568;11.96;0.31;0.59
SA;14.97;2.47;2.19;66.204569;12.7;0.36;0.73
SA;16.745699;2.7;1.7;64.400002;13.1;0.31;0.62
SA;14.63;1.64;1.85;69.084566;11.54;0.49;0.58
U;10.85;0.7;1.8;79.550003;6.05;0.2;0.5
U;10.85;0.7;1.85;79.550003;6;0.25;0.55
U;10.9;0.6;1.9;79.5;6;0.28;0.47
U;10.8;0.65;1.89;79.545698;6.02;0.35;0.2
U;10.9;0.6;1.95;79.550003;6;0.28;0.42
U;11.05;0.55;2;79;6;0.37;0.55
U;10.6;0.75;1.75;79.75;6.1;0.2;0.55
U;10.5;0.7;1.7;79.764567;6.05;0.28;0.65
U;10.65;0.65;1.78;79.650002;6.05;0.22;0.65
U;10.8;0.65;1.8;79.545698;6.05;0.25;0.55
U;10.85;0.6;1.9;79.550003;6.02;0.3;0.53
U;10.9;0.58;1.92;79.5;6;0.35;0.4
U;10.9;0.58;1.95;79.5;6;0.3;0.42
U;10.95;0.58;1.98;79.5;6.02;0.35;0.32
U;10.95;0.58;1.98;79.444567;6;0.35;0.34
U;10.8;0.7;1.88;79.650002;6.08;0.28;0.36
U;10.75;0.65;1.85;79.800003;6.08;0.35;0.42
U;10.7;0.75;1.88;79.800003;6.02;0.22;0.45
U;10.7;0.75;1.88;79.800003;6.02;0.22;0.45
U;10.9;0.6;1.98;79.444567;6;0.32;0.35
U;10.75;0.7;1.9;79.75;6.05;0.28;0.27
U;11.05;0.15;1.98;80.050003;5.75;0.52;0.2
U;11.1;0.75;2.2;79.150002;5.1;0.55;0.65
U;10.58;0.5;1.78;79.874567;6.26;0.4;0.55
U;11.05;0.3;1.98;79.944567;5.7;0.52;0.2
U;10.72;0.49;1.78;79.800003;6.15;0.48;0.48
U;11.1;0.15;2.1;79.900002;5.7;0.5;0.2
U;11.1;0.8;2.15;79.045698;5.25;0.5;0.6
U;11;0.8;2.15;79.300003;5.35;0.45;0.6
U;10.95;0.5;2.1;79.480011;6;0.25;0.35
U;11.1;0.5;2.2;79.5;6;0.52;0.1
WL;11.9;1.5;2.9;73.400002;10.2;0;0.1
WL;11.1;1.3;2.1;75.5;10;0;0
WL;10.7;1.2;2.1;76;9.845699;0;0.1
WL;10.1;0.9;3.5;74.800003;10.5;0.1;0.1
WL;10.3;1;2.3;77.400002;9;0;0
WL;10.3;1.1;2.2;77.545698;9.8;0;0
WL;10.7;1;2.3;76;9.845699;0.1;0
WL;11.4;1.8;2.2;76.045698;8.5;0.1;0.1
WL;9.8;1.1;3;77.145697;9.100001;0.1;0
WL;9.8;0.9;3.3;75.400002;10.4;0;0
WL;12.4;1.5;2.5;76.045698;7.3;0.1;0.1
WL;10.6;0.9;3.1;78.5;6.9;0;0
WL;11.8;1.3;2.2;74.5;10.1;0;0.1
WL;10.6;1.4;2.4;76.900002;8.5;0.1;0.1
WL;9.845699;1;2.5;76.300003;10.3;0;0
WL;10.4;0.9;2.5;77.800003;8.2;0.1;0.1
WL;10.4;0.9;2.5;78.045698;8.100001;0.1;0.1
WL;10.2;0.9;2.6;76.145697;10.1;0;0
WL;10.1;0.9;3.5;76.045698;9.3;0.1;0
WL;10.3;1;2.5;77.045698;9;0;0.1
WL;9.600001;0.9;3;78.145697;8.3;0;0
WL;10.3;1.1;2.1;78.045698;8.399999;0;0
WL;10.1;1;2.4;77.045698;9.100001;0.1;0.2
WL;10.2;0.9;2.4;78;8.5;0;0
WL;10.9;0.9;2.9;77.045698;8;0.1;0
WL;10.9;0.8;2.4;78.145697;7.6;0.1;0
WL;11.5;0.9;2.5;77.145697;8.100001;0;0.1
WL;12.8;1.1;2.9;74.900002;7.9;0.1;0.1
WL;9.845699;1.2;2.5;77.5;8.7;0.1;0.1
WL;9.600001;0.8;2.4;79.5;7.4;0.1;0.2
